




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5242)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of cellular localization (GO:0060341)	841	276	214.06	+	1.29	2.56E-04	7.18E-03
histone methylation (GO:0016571)	91	46	23.16	+	1.99	2.56E-04	7.18E-03
cell motility (GO:0048870)	1109	218	282.27	-	.77	2.65E-04	7.39E-03
localization of cell (GO:0051674)	1109	218	282.27	-	.77	2.65E-04	7.41E-03
cellular response to unfolded protein (GO:0034620)	131	60	33.34	+	1.80	2.74E-04	7.64E-03
regulation of protein modification process (GO:0031399)	1654	504	420.99	+	1.20	2.76E-04	7.66E-03
nucleosome assembly (GO:0006334)	117	55	29.78	+	1.85	2.75E-04	7.66E-03
regulation of transcription by RNA polymerase II (GO:0006357)	2595	761	660.50	+	1.15	2.76E-04	7.67E-03
vesicle organization (GO:0016050)	313	119	79.67	+	1.49	2.81E-04	7.73E-03
spliceosomal complex assembly (GO:0000245)	56	33	14.25	+	2.32	2.81E-04	7.74E-03
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	38	17.82	+	2.13	2.82E-04	7.74E-03
membrane organization (GO:0061024)	972	313	247.40	+	1.27	2.80E-04	7.74E-03
interstrand cross-link repair (GO:0036297)	56	33	14.25	+	2.32	2.81E-04	7.75E-03
DNA duplex unwinding (GO:0032508)	105	51	26.73	+	1.91	2.83E-04	7.76E-03
telomere maintenance (GO:0000723)	99	49	25.20	+	1.94	2.86E-04	7.81E-03
catechol-containing compound metabolic process (GO:0009712)	48	1	12.22	-	.08	2.86E-04	7.83E-03
catecholamine metabolic process (GO:0006584)	48	1	12.22	-	.08	2.86E-04	7.84E-03
electron transport chain (GO:0022900)	170	73	43.27	+	1.69	2.88E-04	7.85E-03
regulation of telomere maintenance (GO:0032204)	81	42	20.62	+	2.04	2.91E-04	7.90E-03
regulation of translational initiation (GO:0006446)	81	42	20.62	+	2.04	2.91E-04	7.91E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	56	30.29	+	1.85	2.98E-04	8.08E-03
regulation of DNA-templated transcription, elongation (GO:0032784)	52	31	13.24	+	2.34	3.08E-04	8.34E-03
regulation of intracellular transport (GO:0032386)	364	134	92.65	+	1.45	3.11E-04	8.39E-03
G2/M transition of mitotic cell cycle (GO:0000086)	141	63	35.89	+	1.76	3.14E-04	8.47E-03
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	33	14.51	+	2.27	3.16E-04	8.51E-03
activation of immune response (GO:0002253)	530	91	134.90	-	.67	3.25E-04	8.73E-03
negative regulation of cellular catabolic process (GO:0031330)	257	101	65.41	+	1.54	3.32E-04	8.92E-03
DNA replication-independent nucleosome organization (GO:0034724)	40	26	10.18	+	2.55	3.35E-04	8.99E-03
cell cycle G2/M phase transition (GO:0044839)	143	64	36.40	+	1.76	3.37E-04	9.02E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	54	29.27	+	1.84	3.44E-04	9.20E-03
tRNA aminoacylation (GO:0043039)	49	30	12.47	+	2.41	3.47E-04	9.25E-03
cellular response to oxygen levels (GO:0071453)	220	89	56.00	+	1.59	3.50E-04	9.32E-03
multi-organism transport (GO:0044766)	63	35	16.04	+	2.18	3.62E-04	9.59E-03
multi-organism localization (GO:1902579)	63	35	16.04	+	2.18	3.62E-04	9.61E-03
negative regulation of chromosome organization (GO:2001251)	79	41	20.11	+	2.04	3.65E-04	9.65E-03
gene silencing (GO:0016458)	153	67	38.94	+	1.72	3.70E-04	9.78E-03
intracellular transport of virus (GO:0075733)	54	32	13.74	+	2.33	3.73E-04	9.85E-03
regulation of defense response (GO:0031347)	852	162	216.86	-	.75	3.87E-04	1.02E-02
positive regulation of apoptotic process (GO:0043065)	560	192	142.54	+	1.35	3.90E-04	1.03E-02
regulation of apoptotic process (GO:0042981)	1493	457	380.01	+	1.20	3.93E-04	1.03E-02
ERAD pathway (GO:0036503)	92	46	23.42	+	1.96	3.97E-04	1.04E-02
phenol-containing compound metabolic process (GO:0018958)	92	7	23.42	-	.30	4.02E-04	1.05E-02
positive regulation of ion transport (GO:0043270)	297	44	75.59	-	.58	4.08E-04	1.06E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	105	50	26.73	+	1.87	4.15E-04	1.08E-02
cellular response to radiation (GO:0071478)	181	76	46.07	+	1.65	4.18E-04	1.09E-02
tRNA aminoacylation for protein translation (GO:0006418)	46	28	11.71	+	2.39	4.39E-04	1.14E-02
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	38	18.07	+	2.10	4.46E-04	1.16E-02
regulation of TOR signaling (GO:0032006)	100	48	25.45	+	1.89	4.56E-04	1.18E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	36	16.80	+	2.14	4.55E-04	1.18E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	36	16.80	+	2.14	4.55E-04	1.18E-02
transport of virus (GO:0046794)	61	34	15.53	+	2.19	4.60E-04	1.19E-02
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	63	36.40	+	1.73	4.61E-04	1.19E-02
cellular amino acid metabolic process (GO:0006520)	283	108	72.03	+	1.50	4.71E-04	1.21E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	5.60	+	3.21	4.77E-04	1.22E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	51	27.49	+	1.86	4.77E-04	1.22E-02
regulation of apoptotic signaling pathway (GO:2001233)	354	130	90.10	+	1.44	4.82E-04	1.23E-02
cellular response to stimulus (GO:0051716)	6807	1600	1732.57	-	.92	4.94E-04	1.26E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	69	40.98	+	1.68	4.99E-04	1.27E-02
spliceosomal snRNP assembly (GO:0000387)	39	25	9.93	+	2.52	5.06E-04	1.28E-02
neutrophil chemotaxis (GO:0030593)	77	5	19.60	-	.26	5.07E-04	1.28E-02
DNA replication-independent nucleosome assembly (GO:0006336)	39	25	9.93	+	2.52	5.06E-04	1.28E-02
virion assembly (GO:0019068)	39	25	9.93	+	2.52	5.06E-04	1.28E-02
ER-nucleus signaling pathway (GO:0006984)	39	25	9.93	+	2.52	5.06E-04	1.29E-02
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	51	27.74	+	1.84	5.12E-04	1.29E-02
protein stabilization (GO:0050821)	198	81	50.40	+	1.61	5.38E-04	1.36E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	38	18.58	+	2.05	5.42E-04	1.36E-02
nuclear membrane organization (GO:0071763)	73	38	18.58	+	2.05	5.42E-04	1.36E-02
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	9.16	-	 < 0.01	5.42E-04	1.36E-02
regulation of dopamine secretion (GO:0014059)	36	0	9.16	-	 < 0.01	5.42E-04	1.36E-02
negative regulation of cellular protein metabolic process (GO:0032269)	1040	329	264.71	+	1.24	5.47E-04	1.37E-02
positive regulation of cellular protein catabolic process (GO:1903364)	156	67	39.71	+	1.69	5.60E-04	1.40E-02
immune response-activating signal transduction (GO:0002757)	455	77	115.81	-	.66	5.82E-04	1.45E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	77	115.81	-	.66	5.82E-04	1.45E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	200	258.09	-	.77	5.85E-04	1.45E-02
protein insertion into ER membrane (GO:0045048)	37	24	9.42	+	2.55	6.25E-04	1.55E-02
negative regulation of protein metabolic process (GO:0051248)	1112	348	283.03	+	1.23	6.30E-04	1.56E-02
maturation of SSU-rRNA (GO:0030490)	50	29	12.73	+	2.28	6.64E-04	1.64E-02
response to gamma radiation (GO:0010332)	55	31	14.00	+	2.21	6.66E-04	1.64E-02
phototransduction (GO:0007602)	44	1	11.20	-	.09	6.71E-04	1.65E-02
positive regulation of proteolysis (GO:0045862)	376	135	95.70	+	1.41	6.91E-04	1.70E-02
regulation of cell motility (GO:2000145)	954	187	242.82	-	.77	6.94E-04	1.71E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	48	25.96	+	1.85	7.07E-04	1.74E-02
pre-replicative complex assembly (GO:0036388)	66	35	16.80	+	2.08	7.17E-04	1.76E-02
dorsal/ventral pattern formation (GO:0009953)	76	5	19.34	-	.26	7.37E-04	1.80E-02
regulation of organelle assembly (GO:1902115)	190	77	48.36	+	1.59	7.42E-04	1.81E-02
ncRNA export from nucleus (GO:0097064)	38	24	9.67	+	2.48	7.61E-04	1.86E-02
granulocyte chemotaxis (GO:0071621)	82	6	20.87	-	.29	7.72E-04	1.88E-02
detection of external stimulus (GO:0009581)	137	15	34.87	-	.43	7.77E-04	1.89E-02
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	51	28.25	+	1.81	7.83E-04	1.90E-02
cellular response to decreased oxygen levels (GO:0036294)	202	81	51.41	+	1.58	7.83E-04	1.90E-02
cellular response to UV (GO:0034644)	91	44	23.16	+	1.90	7.86E-04	1.90E-02
DNA-templated transcription, elongation (GO:0006354)	79	40	20.11	+	1.99	8.00E-04	1.93E-02
animal organ morphogenesis (GO:0009887)	956	188	243.33	-	.77	8.08E-04	1.95E-02
inorganic cation transmembrane transport (GO:0098662)	573	103	145.84	-	.71	8.08E-04	1.95E-02
regulation of cell migration (GO:0030334)	892	174	227.04	-	.77	8.18E-04	1.96E-02
histone mRNA metabolic process (GO:0008334)	24	18	6.11	+	2.95	8.17E-04	1.96E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	18	6.11	+	2.95	8.17E-04	1.97E-02
positive regulation of cell death (GO:0010942)	638	212	162.39	+	1.31	8.27E-04	1.98E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	202	153.73	+	1.31	8.33E-04	1.99E-02
maturation of LSU-rRNA (GO:0000470)	28	20	7.13	+	2.81	8.46E-04	2.02E-02
protein transmembrane transport (GO:0071806)	58	32	14.76	+	2.17	8.55E-04	2.03E-02
small molecule metabolic process (GO:0044281)	1622	488	412.84	+	1.18	8.54E-04	2.04E-02
regulation of mitochondrion organization (GO:0010821)	160	67	40.72	+	1.65	8.69E-04	2.07E-02
rhythmic process (GO:0048511)	269	102	68.47	+	1.49	8.75E-04	2.08E-02
positive regulation of chromatin organization (GO:1905269)	121	54	30.80	+	1.75	8.96E-04	2.12E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	38	19.09	+	1.99	9.06E-04	2.14E-02
positive regulation of DNA repair (GO:0045739)	75	38	19.09	+	1.99	9.06E-04	2.14E-02
base-excision repair (GO:0006284)	59	32	15.02	+	2.13	9.43E-04	2.22E-02
inner mitochondrial membrane organization (GO:0007007)	54	30	13.74	+	2.18	9.62E-04	2.27E-02
cell differentiation (GO:0030154)	3575	810	909.94	-	.89	9.76E-04	2.29E-02
response to oxygen levels (GO:0070482)	388	138	98.76	+	1.40	9.86E-04	2.32E-02
nucleus organization (GO:0006997)	148	63	37.67	+	1.67	1.01E-03	2.38E-02
regulation of mitochondrial gene expression (GO:0062125)	29	20	7.38	+	2.71	1.02E-03	2.39E-02
positive regulation of programmed cell death (GO:0043068)	575	193	146.35	+	1.32	1.02E-03	2.39E-02
epithelium development (GO:0060429)	1113	225	283.29	-	.79	1.03E-03	2.39E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	10.69	-	.09	1.03E-03	2.39E-02
negative regulation of DNA metabolic process (GO:0051053)	140	60	35.63	+	1.68	1.03E-03	2.40E-02
histone lysine methylation (GO:0034968)	71	36	18.07	+	1.99	1.07E-03	2.49E-02
cellular response to ionizing radiation (GO:0071479)	71	36	18.07	+	1.99	1.07E-03	2.49E-02
retrograde transport, endosome to Golgi (GO:0042147)	90	43	22.91	+	1.88	1.07E-03	2.49E-02
DNA-templated transcription, initiation (GO:0006352)	195	78	49.63	+	1.57	1.08E-03	2.51E-02
response to reactive oxygen species (GO:0000302)	186	75	47.34	+	1.58	1.10E-03	2.54E-02
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	7	21.89	-	.32	1.11E-03	2.55E-02
monocarboxylic acid transport (GO:0015718)	100	9	25.45	-	.35	1.11E-03	2.56E-02
killing of cells of other organism (GO:0031640)	87	7	22.14	-	.32	1.13E-03	2.60E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	41	21.63	+	1.90	1.17E-03	2.69E-02
regulation of locomotion (GO:0040012)	997	199	253.76	-	.78	1.18E-03	2.72E-02
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	33	15.78	+	2.09	1.19E-03	2.73E-02
histone H3 acetylation (GO:0043966)	47	27	11.96	+	2.26	1.22E-03	2.80E-02
cellular response to starvation (GO:0009267)	190	76	48.36	+	1.57	1.23E-03	2.80E-02
postreplication repair (GO:0006301)	52	29	13.24	+	2.19	1.23E-03	2.80E-02
tissue development (GO:0009888)	1729	369	440.08	-	.84	1.24E-03	2.82E-02
detection of abiotic stimulus (GO:0009582)	139	16	35.38	-	.45	1.26E-03	2.85E-02
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	93	44	23.67	+	1.86	1.25E-03	2.85E-02
regulation of cytokine production (GO:0001817)	748	143	190.39	-	.75	1.25E-03	2.85E-02
phospholipid biosynthetic process (GO:0008654)	289	107	73.56	+	1.45	1.28E-03	2.87E-02
cellular response to amino acid starvation (GO:0034198)	80	39	20.36	+	1.92	1.27E-03	2.87E-02
CENP-A containing chromatin organization (GO:0061641)	30	20	7.64	+	2.62	1.27E-03	2.87E-02
cell death (GO:0008219)	1086	337	276.42	+	1.22	1.27E-03	2.87E-02
cytoplasmic translational initiation (GO:0002183)	30	20	7.64	+	2.62	1.27E-03	2.88E-02
CENP-A containing nucleosome assembly (GO:0034080)	30	20	7.64	+	2.62	1.27E-03	2.88E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	27	19	6.87	+	2.76	1.30E-03	2.92E-02
cell chemotaxis (GO:0060326)	203	28	51.67	-	.54	1.30E-03	2.92E-02
cellular response to hypoxia (GO:0071456)	193	77	49.12	+	1.57	1.33E-03	2.96E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	44	23.93	+	1.84	1.33E-03	2.97E-02
regulation of histone modification (GO:0031056)	156	65	39.71	+	1.64	1.33E-03	2.97E-02
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	31	14.76	+	2.10	1.34E-03	3.00E-02
cation transmembrane transport (GO:0098655)	641	120	163.15	-	.74	1.35E-03	3.00E-02
protein-lipid complex remodeling (GO:0034368)	32	0	8.14	-	 < 0.01	1.35E-03	3.01E-02
plasma lipoprotein particle remodeling (GO:0034369)	32	0	8.14	-	 < 0.01	1.35E-03	3.01E-02
cytosolic transport (GO:0016482)	148	62	37.67	+	1.65	1.36E-03	3.03E-02
chloride transmembrane transport (GO:1902476)	65	4	16.54	-	.24	1.38E-03	3.06E-02
negative regulation of protein ubiquitination (GO:0031397)	82	40	20.87	+	1.92	1.41E-03	3.11E-02
negative regulation of mitotic nuclear division (GO:0045839)	35	22	8.91	+	2.47	1.42E-03	3.12E-02
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	35	22	8.91	+	2.47	1.42E-03	3.12E-02
receptor-mediated endocytosis (GO:0006898)	249	37	63.38	-	.58	1.42E-03	3.13E-02
chloride transport (GO:0006821)	103	10	26.22	-	.38	1.42E-03	3.13E-02
immune response-regulating signaling pathway (GO:0002764)	495	88	125.99	-	.70	1.45E-03	3.19E-02
cell killing (GO:0001906)	126	14	32.07	-	.44	1.48E-03	3.24E-02
response to amino acid starvation (GO:1990928)	83	40	21.13	+	1.89	1.49E-03	3.25E-02
regulation of DNA recombination (GO:0000018)	127	55	32.33	+	1.70	1.55E-03	3.38E-02
ribosomal large subunit assembly (GO:0000027)	28	19	7.13	+	2.67	1.57E-03	3.42E-02
nuclear envelope organization (GO:0006998)	84	40	21.38	+	1.87	1.60E-03	3.49E-02
regulation of cellular amino acid metabolic process (GO:0006521)	66	34	16.80	+	2.02	1.61E-03	3.50E-02
ncRNA 3'-end processing (GO:0043628)	50	28	12.73	+	2.20	1.61E-03	3.50E-02
regulation of blood circulation (GO:1903522)	278	43	70.76	-	.61	1.61E-03	3.51E-02
metal ion homeostasis (GO:0055065)	626	117	159.33	-	.73	1.62E-03	3.51E-02
vesicle localization (GO:0051648)	212	82	53.96	+	1.52	1.66E-03	3.59E-02
anion transport (GO:0006820)	460	81	117.08	-	.69	1.69E-03	3.65E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	88	125.23	-	.70	1.70E-03	3.66E-02
vacuolar transport (GO:0007034)	155	64	39.45	+	1.62	1.70E-03	3.66E-02
regulation of interferon-gamma production (GO:0032649)	113	12	28.76	-	.42	1.71E-03	3.69E-02
spindle assembly checkpoint signaling (GO:0071173)	25	18	6.36	+	2.83	1.73E-03	3.71E-02
mitotic spindle checkpoint signaling (GO:0071174)	25	18	6.36	+	2.83	1.73E-03	3.72E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	25	18	6.36	+	2.83	1.73E-03	3.72E-02
negative regulation of gene expression, epigenetic (GO:0045814)	79	38	20.11	+	1.89	1.75E-03	3.75E-02
mitochondrial transmembrane transport (GO:1990542)	107	48	27.23	+	1.76	1.75E-03	3.75E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	515	173	131.08	+	1.32	1.76E-03	3.76E-02
intracellular protein transmembrane transport (GO:0065002)	51	28	12.98	+	2.16	1.77E-03	3.77E-02
positive regulation of multicellular organismal process (GO:0051240)	1431	301	364.23	-	.83	1.77E-03	3.78E-02
histone exchange (GO:0043486)	46	26	11.71	+	2.22	1.78E-03	3.79E-02
organophosphate metabolic process (GO:0019637)	894	281	227.55	+	1.23	1.81E-03	3.84E-02
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	33	21	8.40	+	2.50	1.81E-03	3.84E-02
circulatory system process (GO:0003013)	481	86	122.43	-	.70	1.81E-03	3.84E-02
protein sumoylation (GO:0016925)	62	32	15.78	+	2.03	1.82E-03	3.85E-02
positive regulation of protein ubiquitination (GO:0031398)	123	53	31.31	+	1.69	1.83E-03	3.86E-02
ribosomal small subunit assembly (GO:0000028)	19	15	4.84	+	3.10	1.86E-03	3.93E-02
viral translation (GO:0019081)	19	15	4.84	+	3.10	1.86E-03	3.93E-02
protein localization to nucleus (GO:0034504)	168	68	42.76	+	1.59	1.90E-03	4.00E-02
intrinsic apoptotic signaling pathway (GO:0097193)	150	62	38.18	+	1.62	1.91E-03	4.02E-02
regulation of transmembrane transport (GO:0034762)	591	110	150.43	-	.73	1.94E-03	4.07E-02
import into nucleus (GO:0051170)	117	51	29.78	+	1.71	1.94E-03	4.07E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	29	19	7.38	+	2.57	1.94E-03	4.07E-02
regulation of interleukin-6 production (GO:0032675)	140	17	35.63	-	.48	1.97E-03	4.13E-02
spindle checkpoint signaling (GO:0031577)	26	18	6.62	+	2.72	1.99E-03	4.14E-02
alternative mRNA splicing, via spliceosome (GO:0000380)	22	16	5.60	+	2.86	1.99E-03	4.15E-02
detection of light stimulus (GO:0009583)	63	4	16.04	-	.25	2.00E-03	4.15E-02
mRNA cleavage (GO:0006379)	22	16	5.60	+	2.86	1.99E-03	4.15E-02
error-free translesion synthesis (GO:0070987)	22	16	5.60	+	2.86	1.99E-03	4.16E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	63	32	16.04	+	2.00	2.02E-03	4.19E-02
granulocyte migration (GO:0097530)	95	9	24.18	-	.37	2.04E-03	4.23E-02
regulation of blood pressure (GO:0008217)	188	26	47.85	-	.54	2.07E-03	4.27E-02
cellular metal ion homeostasis (GO:0006875)	561	104	142.79	-	.73	2.07E-03	4.29E-02
hormone metabolic process (GO:0042445)	199	28	50.65	-	.55	2.08E-03	4.29E-02
apoptotic signaling pathway (GO:0097190)	281	103	71.52	+	1.44	2.09E-03	4.30E-02
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	5	17.56	-	.28	2.10E-03	4.32E-02
regulation of cellular component movement (GO:0051270)	1032	210	262.67	-	.80	2.11E-03	4.33E-02
response to radiation (GO:0009314)	452	154	115.05	+	1.34	2.12E-03	4.35E-02
ncRNA catabolic process (GO:0034661)	34	21	8.65	+	2.43	2.12E-03	4.36E-02
establishment of vesicle localization (GO:0051650)	202	78	51.41	+	1.52	2.15E-03	4.39E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	7	20.87	-	.34	2.15E-03	4.40E-02
sodium ion transmembrane transport (GO:0035725)	119	13	30.29	-	.43	2.18E-03	4.44E-02
regulation of cyclase activity (GO:0031279)	48	2	12.22	-	.16	2.21E-03	4.51E-02
regulation of protein acetylation (GO:1901983)	77	37	19.60	+	1.89	2.21E-03	4.51E-02
nuclear membrane reassembly (GO:0031468)	54	29	13.74	+	2.11	2.28E-03	4.63E-02
regulation of hormone levels (GO:0010817)	538	99	136.94	-	.72	2.31E-03	4.69E-02
positive regulation of cell cycle process (GO:0090068)	228	86	58.03	+	1.48	2.34E-03	4.74E-02
regulation of double-strand break repair (GO:2000779)	85	40	21.63	+	1.85	2.38E-03	4.82E-02
detection of biotic stimulus (GO:0009595)	38	1	9.67	-	.10	2.39E-03	4.84E-02
cleavage involved in rRNA processing (GO:0000469)	27	18	6.87	+	2.62	2.39E-03	4.84E-02
response to insulin (GO:0032868)	241	90	61.34	+	1.47	2.41E-03	4.85E-02
chromatin organization involved in regulation of transcription (GO:0034401)	92	42	23.42	+	1.79	2.40E-03	4.85E-02
serotonin receptor signaling pathway (GO:0007210)	39	1	9.93	-	.10	2.44E-03	4.91E-02
cell fate commitment (GO:0045165)	238	36	60.58	-	.59	2.45E-03	4.92E-02
